0000001 002  -----   -----                    
0000129 010  DD      some                     N5 Z5 
0000129 020  JJ      economic                 I1.3- I2.1 
0000129 030  NN2     aspects                  A4.1 A8 M6 
0000129 040  IO      of                       Z5 
0000129 050  JJ      post-war                 T1.3 
0000129 060  NN1     migration                M1 
0000131 010  JJ      quantitative             N3.1 
0000131 020  NN2     aspects                  A4.1 A8 M6 
0000131 030  IO      of                       Z5 
0000131 040  JJ      external                 M6 G1.1/M7 
0000131 050  NN1     migration                M1 
0000133 010  NN2     aspects                  A4.1 A8 M6 
0000133 020  IO      of                       Z5 
0000133 030  JJ      economic                 I1.3- I2.1 
0000133 040  NN1     development              A2.1+ A5.1+/A2.1 H1 
0000133 050  IW      with                     Z5 
0000133 060  JJ      special                  A4.2+ A6.2- 
0000133 070  NN1     reference                Q2.2 Q1.2 
0000133 080  II      to                       Z5 
0000133 090  JJ      new                      T3- 
0000133 100  NN1     zealand                  Z2 
0000135 010  JJ      post-war                 T1.3 
0000135 020  NN1     emigration               M1/M7 
0000135 030  II      from                     Z5 
0000135 040  JJ      western                  M6 T3- 
0000135 050  NN1     germany                  Z2 
0000137 010  NN1     emigration               M1/M7 
0000137 020  II      from                     Z5 
0000137 030  NN1     europe                   Z2 
0000139 010  NN1     guidance                 S8+ 
0000139 020  IF      for                      Z5 
0000139 030  NN2     emigrants                M1/M7/S2mf 
0000141 010  JJ      economic                 I1.3- I2.1 
0000141 020  CC      and                      Z5 
0000141 030  JJ      demographic              S5+ 
0000141 040  NN2     aspects                  A4.1 A8 M6 
0000141 050  IO      of                       Z5 
0000141 060  JJ      post-war                 T1.3 
0000141 070  NN1     immigration              M1/M7 
0000141 080  II      to                       Z5 
0000141 090  NN1     australia                Z2 
0000143 010  JJ      agricultural             F4 
0000143 020  NN1     output                   N5 Y2 X9.2+ Q4 
0000143 030  NN2     requierements            Z99 
0000143 040  IF      for                      Z5 
0000143 050  JJ      future                   T1.1.3 
0000143 060  NN1     population               S2/N5++[i19.2.1 S2/N5c 
0000143 070  NN1     growth                   S2/N5++[i19.2.2 N3.2+/A2.1 A5.1+/A2.1 L3 B2- 
0000143 080  II      in                       Z5 
0000143 090  NN1     australia                Z2 
0000145 010  JJ      post-war                 T1.3 
0000145 020  NN1     migration                M1 
0000145 030  II      within                   Z5 
0000145 040  AT      the                      Z5 
0000145 050  NN1     commonwealth             S5+c 
0000147 010  NN1     afsc                     Z99 
0000147 020  NN1     placement                M2 I3.1 
0000147 030  CC      and                      Z5 
0000147 040  NN1     resettlement             H4/N6+ 
0000147 050  NN1     program                  Y2 X7+ Q4.3 Q1.2 P1 
0000147 060  II      in                       Z5 
0000147 070  AT      the                      Z5 
0000147 080  NN1     german                   Z2/S2mf Z2/Q3 
0000147 090  NN1     republic                 G1.2 S5+/M7 
0000149 010  JJ      agricultural             F4 
0000149 020  NN1     population               S2/N5c 
0000149 030  NN1     pressure                 N3.5 S7.1+ E6- 
0000149 040  II      in                       Z5 
0000149 050  NN1     europe                   Z2 
0000151 010  AT      the                      Z5 
0000151 020  NN1     population               S2/N5c 
0000151 030  IO      of                       Z5 
0000151 040  JJ      central                  A11.1+ M6 
0000151 050  CC      and                      Z5 
0000151 060  JJ      western                  M6 T3- 
0000151 070  NN1     germany                  Z2 
0000151 080  RG21    up                       A13.4[i20.3.1 
0000151 090  RG22    to                       A13.4[i20.3.2 
0000151 100  MC      1955                     A13.4[i20.3.3 N1 T1.2 T3 T1.3 N3.2 
0000153 010  NN2     previsions               Z99 
0000153 020  NP1     de                       Z5 
0000153 030  NN1     population               S2/N5c 
0000153 040  FW      en                       Z5 
0000153 050  NN1     europe                   Z2 
0000153 060  NN1     occidentale              Z99 
0000153 070  NN1     jusqu                    Z99 
0000153 080  FW      en                       Z5 
0000153 090  MC      1971                     N1 T1.2 T3 T1.3 N3.2 
0000155 010  NN1     group                    S5+c A4.1c B3% 
0000155 020  NN1     settlement               M7 Q2.2 I1.2 
0000155 030  II      at                       Z5 
0000155 040  NN1     trentham                 Z99 
0000155 050  NN2     cliffs                   W3 
0000155 060  JJ      new                      T3- 
0000155 070  ND1     south                    M6 
0000155 080  NN2     wales                    Z2 Z1mf 
0000157 010  AT      the                      Z5 
0000157 020  JJ      scientific               Y1 
0000157 030  NN1     basis                    A2.2 T2+ X4.2 
0000157 040  IO      of                       Z5 
0000157 050  APPGE   our                      Z8 
0000157 060  NN1     immigration              M1/M7 
0000157 070  NN1     policy                   X7+ Q1.2 
0000159 010  NN2     types                    A4.1 A6.2+ S1.2 Q1.2 
0000159 020  IO      of                       Z5 
0000159 030  NN1     migration                M1 
0000161 010  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0000161 020  CC      and                      Z5 
0000161 030  NN1     immigration              M1/M7 
0000163 010  NN1     immigration              M1/M7 
0000163 020  CC      and                      Z5 
0000163 030  NN1     assimilation             A6.1+/A2.1 A9+ 
0000165 010  VVD     planned                  X7+ 
0000165 020  NN1     migration                M1 
0000167 010  FW      das                      Z99 
0000167 020  NN1     connubium                Z99 
0000167 030  NP2     als                      Z1m 
0000167 040  FW      ein                      Z99 
0000167 050  NN1     gradmesser               Z99 
0000167 060  FU      der                      Z3c 
0000167 070  VVN     eingliederung            Z99 
0000167 080  FU      der                      Z3c 
0000167 090  NN1     vertriebenen             Z99 
0000167 100  II      in                       Z5 
0000167 110  NN1     westdeutschland          Z99 
0000169 010  AT      the                      Z5 
0000169 020  JJ      economic                 I1.3- I2.1 
0000169 030  NN1     absorption               O4.1 A2.1/O1.2 
0000169 040  IO      of                       Z5 
0000169 050  NN1     dutch                    Z2/Q3 
0000169 060  CC      and                      Z5 
0000169 070  JJ      italian                  Z2 Z2/Q3 
0000169 080  NN2     immigrants               M1/M7/S2mf 
0000169 090  II      into                     Z5 
0000169 100  JJ      western                  M6 T3- 
0000169 110  NN1     australia                Z2 
0000171 010  JJ      recent                   T3- 
0000171 020  NN2     changes                  A2.1+ I1 B1 
0000171 030  II      in                       Z5 
0000171 040  NN1     government               G1.1c 
0000171 050  NN2     attitudes                X2.1/E1 
0000171 060  II      towards                  Z5 
0000171 070  NN1     immigration              M1/M7 
0000173 010  NN2     patterns                 X4.2 O4.1 O4.3 B5/Q1.2 
0000173 020  IO      of                       Z5 
0000173 030  NN1     peasant                  F4/S2mf O4.2-/S2mf 
0000173 040  NN1     migration                M1 
0000173 050  IW      with                     Z5 
0000173 060  JJ      special                  A4.2+ A6.2- 
0000173 070  NN1     reference                Q2.2 Q1.2 
0000173 080  II      to                       Z5 
0000173 090  JJ      eastern                  M6 
0000173 100  NN1     europe                   Z2 
0000175 010  AT      the                      Z5 
0000175 020  JJ      economic                 I1.3- I2.1 
0000175 030  NN1     absorption               O4.1 A2.1/O1.2 
0000175 040  IO      of                       Z5 
0000175 050  NN1     dutch                    Z2/Q3 
0000175 060  CC      and                      Z5 
0000175 070  JJ      italian                  Z2 Z2/Q3 
0000175 080  NN2     immigrants               M1/M7/S2mf 
0000175 090  II      into                     Z5 
0000175 100  JJ      western                  M6 T3- 
0000175 110  NN1     australia                Z2 
0000175 120  VVD     concluded                X6+ T2- 
0000177 010  AT      the                      Z5 
0000177 020  NN1     refugee                  M1/S2mf 
0000177 030  NN1     problem                  A12- X4.1 N2 B2- 
0000177 040  II      in                       Z5 
0000177 050  AT      the                      Z5 
0000177 060  JJ      middle                   Z2[i21.2.1 N4 M6 
0000177 070  ND1     east                     Z2[i21.2.2 M6 
0000179 010  NN1     expansion                N3.2+/A2.1 A4.2-/A2.1 
0000179 020  NN1     urbaine                  Z99 
0000179 030  NP1     et                       Z3 
0000179 040  NN2     mouvements               Z99 
0000179 050  NP1     de                       Z5 
0000179 060  NN1     population               S2/N5c 
0000181 010  ZZ1     l                        Z5 
0000181 020  NN1     immigration              M1/M7 
0000181 030  NN1     italienne                Z99 
0000181 040  NNU     au                       Z99 
0000181 050  NN1     parana                   Z99 
0000183 010  II      to                       Z5 
0000183 020  AT      the                      Z5 
0000183 030  NN1     memory                   X2 X2.2+ S7.2+ Y2 
0000183 040  IO      of                       Z5 
0000183 050  NN1     pierre                   Z1m 
0000183 060  NN1     jacobson                 Z99 
0000185 010  NN1     immigration              M1/M7 
0000185 020  CC      and                      Z5 
0000185 030  NN1     culture                  C1 S1.1.1 S5+ L1 
0000185 040  NN1     conflict                 A6.1- G3 E3- 
0000187 010  AT      the                      Z5 
0000187 020  NN1     case                     A4.1 O2 G2.1 B3 X4.1 Q3 
0000187 030  IF      for                      Z5 
0000187 040  JJ      cultural                 C1 S1.1.1 S5+ 
0000187 050  NN1     tolerance                S7.4+ O4.1 
0000187 060  NN2     arguments                Q2.1 Q2.1/A6.1- Q2.1/E3- 
0000187 070  II      from                     Z5 
0000187 080  AT1     a                        Z5 
0000187 090  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0000187 100  IO      of                       Z5 
0000187 110  NN1     dutch                    Z2/Q3 
0000187 120  NN2     immigrants               M1/M7/S2mf 
